CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=256 terr=0.00958 serr=0.55563 act=2207527 obj=10740.70876 diff=0.00113
iter=257 terr=0.00934 serr=0.54937 act=2207527 obj=10728.65866 diff=0.00112
iter=258 terr=0.00930 serr=0.54625 act=2207527 obj=10721.57274 diff=0.00066
iter=259 terr=0.00927 serr=0.54500 act=2207527 obj=10716.28753 diff=0.00049
iter=260 terr=0.00927 serr=0.54125 act=2207527 obj=10701.71636 diff=0.00136
iter=261 terr=0.00927 serr=0.53938 act=2207527 obj=10682.62893 diff=0.00178
iter=262 terr=0.00916 serr=0.53812 act=2207527 obj=10667.79061 diff=0.00139
iter=263 terr=0.00919 serr=0.54500 act=2207527 obj=10651.40533 diff=0.00154
iter=264 terr=0.00924 serr=0.55000 act=2207527 obj=10643.25522 diff=0.00077
iter=265 terr=0.00914 serr=0.54812 act=2207527 obj=10631.32790 diff=0.00112
iter=266 terr=0.00929 serr=0.54563 act=2207527 obj=10611.22343 diff=0.00189
iter=267 terr=0.00918 serr=0.54000 act=2207527 obj=10592.17858 diff=0.00179
iter=268 terr=0.00905 serr=0.53687 act=2207527 obj=10576.32451 diff=0.00150
iter=269 terr=0.00892 serr=0.53625 act=2207527 obj=10565.76933 diff=0.00100
iter=270 terr=0.00887 serr=0.53563 act=2207527 obj=10558.45939 diff=0.00069
iter=271 terr=0.00888 serr=0.53750 act=2207527 obj=10550.35030 diff=0.00077
iter=272 terr=0.00883 serr=0.53375 act=2207527 obj=10540.65703 diff=0.00092
iter=273 terr=0.00907 serr=0.53750 act=2207527 obj=10537.61244 diff=0.00029
iter=274 terr=0.00868 serr=0.52438 act=2207527 obj=10513.77755 diff=0.00226
iter=275 terr=0.00862 serr=0.52063 act=2207527 obj=10508.10701 diff=0.00054
iter=276 terr=0.00861 serr=0.52000 act=2207527 obj=10501.17222 diff=0.00066
iter=277 terr=0.00861 serr=0.51875 act=2207527 obj=10491.71385 diff=0.00090
iter=278 terr=0.00870 serr=0.51125 act=2207527 obj=10492.47104 diff=0.00007
iter=279 terr=0.00854 serr=0.51187 act=2207527 obj=10481.74788 diff=0.00102
iter=280 terr=0.00859 serr=0.51438 act=2207527 obj=10469.22581 diff=0.00119
iter=281 terr=0.00856 serr=0.51313 act=2207527 obj=10459.75490 diff=0.00090
iter=282 terr=0.00856 serr=0.50750 act=2207527 obj=10450.35607 diff=0.00090
iter=283 terr=0.00894 serr=0.52625 act=2207527 obj=10476.81137 diff=0.00253
iter=284 terr=0.00844 serr=0.51187 act=2207527 obj=10442.60065 diff=0.00327
